bit_length=10 prime=547 G=(386, 359) n=547 Q=(286, 462)
Creating Quantum Circuit
set [(386, 359), (369, 328), (27, 190)]
add 3/20 [(151, 484), (137, 303), (408, 326)] normal
add 6/20 [(456, 511), (268, 170), (450, 215)] normal
add 9/20 [(2, 485), (286, 462), (543, 130)] 
add 12/20 [(257, 251), (52, 541), (127, 382)] 
add 15/20 [(39, 171), (161, 15), (390, 272)] 
add 18/20 [(376, 346), (519, 329)] 
Complete aG+bQ
Complete Quantum Circuit 117.099[s]
  qubit_size=235 gate_count=2287611 depth=2276484
JIT mode: parallel
execute circuit 10000/2287613 15.493
execute circuit 20000/2287613 26.668
execute circuit 30000/2287613 37.845
execute circuit 40000/2287613 49.059
execute circuit 50000/2287613 1:00.324
execute circuit 60000/2287613 1:11.950
execute circuit 70000/2287613 1:23.357
execute circuit 80000/2287613 1:34.422
execute circuit 90000/2287613 1:45.918
execute circuit 100000/2287613 1:57.339
execute circuit 110000/2287613 2:08.498
execute circuit 120000/2287613 2:19.904
execute circuit 130000/2287613 2:31.430
execute circuit 140000/2287613 2:42.749
execute circuit 150000/2287613 2:53.960
execute circuit 160000/2287613 3:05.329
execute circuit 170000/2287613 3:17.046
execute circuit 180000/2287613 3:28.607
execute circuit 190000/2287613 3:40.421
execute circuit 200000/2287613 3:51.549
execute circuit 210000/2287613 4:02.641
execute circuit 220000/2287613 4:13.838
execute circuit 230000/2287613 4:24.966
execute circuit 240000/2287613 4:36.454
execute circuit 250000/2287613 4:47.857
execute circuit 260000/2287613 4:58.995
execute circuit 270000/2287613 5:10.521
execute circuit 280000/2287613 5:22.040
execute circuit 290000/2287613 5:33.378
execute circuit 300000/2287613 5:44.659
execute circuit 310000/2287613 5:56.164
execute circuit 320000/2287613 6:07.526
execute circuit 330000/2287613 6:18.754
execute circuit 340000/2287613 6:29.928
execute circuit 350000/2287613 6:41.282
execute circuit 360000/2287613 6:52.667
execute circuit 370000/2287613 7:04.044
execute circuit 380000/2287613 7:15.323
execute circuit 390000/2287613 7:26.556
execute circuit 400000/2287613 7:37.974
execute circuit 410000/2287613 7:49.269
execute circuit 420000/2287613 8:02.374
execute circuit 430000/2287613 8:14.312
execute circuit 440000/2287613 8:25.180
execute circuit 450000/2287613 8:36.402
execute circuit 460000/2287613 8:47.116
execute circuit 470000/2287613 8:58.020
execute circuit 480000/2287613 9:08.664
execute circuit 490000/2287613 9:19.769
execute circuit 500000/2287613 9:30.818
execute circuit 510000/2287613 9:41.793
execute circuit 520000/2287613 9:52.588
execute circuit 530000/2287613 10:03.557
execute circuit 540000/2287613 10:14.362
execute circuit 550000/2287613 10:25.753
execute circuit 560000/2287613 10:36.522
execute circuit 570000/2287613 10:47.239
execute circuit 580000/2287613 10:58.012
execute circuit 590000/2287613 11:08.907
execute circuit 600000/2287613 11:19.864
execute circuit 610000/2287613 11:30.949
execute circuit 620000/2287613 11:41.740
execute circuit 630000/2287613 11:52.880
execute circuit 640000/2287613 12:03.652
execute circuit 650000/2287613 12:14.687
execute circuit 660000/2287613 12:25.575
execute circuit 670000/2287613 12:36.569
execute circuit 680000/2287613 12:47.543
execute circuit 690000/2287613 12:58.667
execute circuit 700000/2287613 13:09.518
execute circuit 710000/2287613 13:20.319
execute circuit 720000/2287613 13:31.177
execute circuit 730000/2287613 13:42.138
execute circuit 740000/2287613 13:53.558
execute circuit 750000/2287613 14:05.105
execute circuit 760000/2287613 14:15.971
execute circuit 770000/2287613 14:27.628
execute circuit 780000/2287613 14:38.836
execute circuit 790000/2287613 14:50.786
execute circuit 800000/2287613 15:03.171
execute circuit 810000/2287613 15:14.545
execute circuit 820000/2287613 15:26.466
execute circuit 830000/2287613 15:38.682
execute circuit 840000/2287613 15:50.294
execute circuit 850000/2287613 16:02.335
execute circuit 860000/2287613 16:14.030
execute circuit 870000/2287613 16:26.099
