bit_length=12 prime=2089 G=(1417, 50) n=2143 Q=(1043, 1795)
Creating Quantum Circuit
set [(1417, 50), (1962, 331), (1407, 758)]
add 3/24 [(1470, 1139), (1951, 1572), (492, 646)] normal
add 6/24 [(1395, 1820), (1412, 364), (805, 636)] normal
add 9/24 [(1191, 180), (389, 1895), (229, 1146)] no double
add 12/24 [(1043, 1795), (1798, 721), (365, 1478)] 
add 15/24 [(1295, 681), (1881, 1592), (1240, 2010)] 
add 18/24 [(97, 111), (2, 648), (834, 118)] 
add 21/24 [(1348, 1739), (1375, 175), (731, 1520)] 
Complete aG+bQ
Complete Quantum Circuit 386.365[s]
  qubit_size=329 gate_count=6027756 depth=6010187
JIT mode: parallel
execute circuit 10000/6027758 4:26.728
execute circuit 20000/6027758 7:40.070
execute circuit 30000/6027758 10:54.796
execute circuit 40000/6027758 14:09.927
execute circuit 50000/6027758 17:24.422
execute circuit 60000/6027758 20:39.743
execute circuit 70000/6027758 23:53.376
execute circuit 80000/6027758 27:08.385
execute circuit 90000/6027758 30:23.313
execute circuit 100000/6027758 33:37.085
execute circuit 110000/6027758 36:52.813
execute circuit 120000/6027758 40:03.123
execute circuit 130000/6027758 43:17.430
execute circuit 140000/6027758 46:29.533
execute circuit 150000/6027758 49:41.784
execute circuit 160000/6027758 52:56.894
execute circuit 170000/6027758 56:09.534
execute circuit 180000/6027758 59:23.433
execute circuit 190000/6027758 1:02:36.863
execute circuit 200000/6027758 1:05:51.655
execute circuit 210000/6027758 1:08:58.145
execute circuit 220000/6027758 1:12:11.710
execute circuit 230000/6027758 1:15:26.702
execute circuit 240000/6027758 1:18:38.025
execute circuit 250000/6027758 1:21:55.296
execute circuit 260000/6027758 1:25:06.192
execute circuit 270000/6027758 1:28:17.276
execute circuit 280000/6027758 1:31:32.214
execute circuit 290000/6027758 1:34:44.635
execute circuit 300000/6027758 1:37:55.276
execute circuit 310000/6027758 1:41:10.902
execute circuit 320000/6027758 1:44:25.463
execute circuit 330000/6027758 1:47:40.098
execute circuit 340000/6027758 1:50:56.131
execute circuit 350000/6027758 1:54:10.665
execute circuit 360000/6027758 1:57:23.837
execute circuit 370000/6027758 2:00:38.000
execute circuit 380000/6027758 2:03:53.599
execute circuit 390000/6027758 2:07:08.715
execute circuit 400000/6027758 2:10:23.181
execute circuit 410000/6027758 2:13:37.629
execute circuit 420000/6027758 2:17:04.530
execute circuit 430000/6027758 2:20:18.669
execute circuit 440000/6027758 2:23:31.333
execute circuit 450000/6027758 2:26:44.143
execute circuit 460000/6027758 2:29:58.199
execute circuit 470000/6027758 2:33:10.889
execute circuit 480000/6027758 2:36:23.246
execute circuit 490000/6027758 2:39:36.875
execute circuit 500000/6027758 2:42:49.769
execute circuit 510000/6027758 2:46:02.227
execute circuit 520000/6027758 2:49:16.471
execute circuit 530000/6027758 2:52:31.031
execute circuit 540000/6027758 2:55:41.206
execute circuit 550000/6027758 2:58:51.492
execute circuit 560000/6027758 3:02:04.872
execute circuit 570000/6027758 3:05:14.629
execute circuit 580000/6027758 3:08:25.197
execute circuit 590000/6027758 3:11:39.887
execute circuit 600000/6027758 3:14:49.443
execute circuit 610000/6027758 3:18:04.544
execute circuit 620000/6027758 3:21:17.572
execute circuit 630000/6027758 3:24:24.022
execute circuit 640000/6027758 3:27:39.222
execute circuit 650000/6027758 3:30:50.068
execute circuit 660000/6027758 3:34:03.304
execute circuit 670000/6027758 3:37:14.298
execute circuit 680000/6027758 3:40:26.735
execute circuit 690000/6027758 3:43:37.187
execute circuit 700000/6027758 3:46:47.018
execute circuit 710000/6027758 3:49:59.854
execute circuit 720000/6027758 3:53:11.195
execute circuit 730000/6027758 3:56:25.387
execute circuit 740000/6027758 3:59:39.279
execute circuit 750000/6027758 4:02:51.501
execute circuit 760000/6027758 4:06:05.499
execute circuit 770000/6027758 4:09:17.892
execute circuit 780000/6027758 4:12:30.462
execute circuit 790000/6027758 4:15:44.401
execute circuit 800000/6027758 4:18:57.832
execute circuit 810000/6027758 4:22:10.104
execute circuit 820000/6027758 4:25:23.060
execute circuit 830000/6027758 4:28:41.104
execute circuit 840000/6027758 4:31:58.284
execute circuit 850000/6027758 4:35:12.918
execute circuit 860000/6027758 4:38:27.676
execute circuit 870000/6027758 4:41:42.639
execute circuit 880000/6027758 4:44:57.567
execute circuit 890000/6027758 4:48:12.322
execute circuit 900000/6027758 4:51:28.790
execute circuit 910000/6027758 4:54:44.311
execute circuit 920000/6027758 4:58:00.357
execute circuit 930000/6027758 5:01:16.064
execute circuit 940000/6027758 5:04:32.318
execute circuit 950000/6027758 5:07:44.898
execute circuit 960000/6027758 5:10:59.976
execute circuit 970000/6027758 5:14:11.699
execute circuit 980000/6027758 5:17:24.215
execute circuit 990000/6027758 5:20:39.186
execute circuit 1000000/6027758 5:23:51.536
execute circuit 1010000/6027758 5:27:03.527
execute circuit 1020000/6027758 5:30:17.293
execute circuit 1030000/6027758 5:33:31.369
execute circuit 1040000/6027758 5:36:37.810
execute circuit 1050000/6027758 5:39:50.842
execute circuit 1060000/6027758 5:43:04.948
execute circuit 1070000/6027758 5:46:17.519
execute circuit 1080000/6027758 5:49:35.349
execute circuit 1090000/6027758 5:52:49.317
execute circuit 1100000/6027758 5:56:01.980
execute circuit 1110000/6027758 5:59:18.496
execute circuit 1120000/6027758 6:02:31.321
execute circuit 1130000/6027758 6:05:43.819
execute circuit 1140000/6027758 6:09:00.485
execute circuit 1150000/6027758 6:12:18.475
execute circuit 1160000/6027758 6:15:34.267
execute circuit 1170000/6027758 6:18:49.423
execute circuit 1180000/6027758 6:22:05.915
execute circuit 1190000/6027758 6:25:21.997
execute circuit 1200000/6027758 6:28:37.381
execute circuit 1210000/6027758 6:31:52.936
execute circuit 1220000/6027758 6:35:08.209
execute circuit 1230000/6027758 6:38:23.375
execute circuit 1240000/6027758 6:41:38.588
execute circuit 1250000/6027758 6:45:04.825
execute circuit 1260000/6027758 6:48:19.841
execute circuit 1270000/6027758 6:51:35.156
execute circuit 1280000/6027758 6:54:49.758
execute circuit 1290000/6027758 6:58:04.763
execute circuit 1300000/6027758 7:01:19.926
execute circuit 1310000/6027758 7:04:35.069
execute circuit 1320000/6027758 7:07:49.938
execute circuit 1330000/6027758 7:11:04.731
execute circuit 1340000/6027758 7:14:19.645
execute circuit 1350000/6027758 7:17:35.326
execute circuit 1360000/6027758 7:20:49.441
execute circuit 1370000/6027758 7:24:03.599
execute circuit 1380000/6027758 7:27:16.560
execute circuit 1390000/6027758 7:30:31.995
execute circuit 1400000/6027758 7:33:44.800
execute circuit 1410000/6027758 7:36:57.809
