bit_length=3 prime=5 G=(0, 1) n=7 Q=(3, 3)
Creating Quantum Circuit
(1/3)
(2/3)
(3/3)
Complete Quantum Circuit 0.442[s]
  qubit_size=61 gate_count=13496
Start Transpile ibm_torino 647
End Transpile 147.489[s] size=3534111 depth=1923697
*OK: <011 111 000 000>=2, (0, 0)=True d=3
*OK: <100 011 000 100>=1, (0, 4)=True d=3
*OK: <010 100 001 001>=1, (1, 1)=False d=3
-NG: <101 000 000 000>=1, (0, 0)=True
-NG: <110 110 010 111>=1, (2, 7)=False
-NG: <001 101 011 111>=1, (3, 7)=True
-NG: <111 110 011 010>=1, (3, 2)=True
-NG: <010 001 101 010>=1, (5, 2)=False
-NG: <001 111 010 010>=1, (2, 2)=False
-NG: <101 100 000 101>=1, (0, 5)=False
*OK: <001 100 110 000>=1, (6, 0)=False d=3
-NG: <001 111 100 001>=1, (4, 1)=False
*OK: <010 100 110 011>=1, (6, 3)=True d=3
-NG: <111 001 000 010>=1, (0, 2)=False
-NG: <000 011 100 011>=1, (4, 3)=False
-NG: <111 011 010 101>=1, (2, 5)=False
-NG: <010 101 011 101>=1, (3, 5)=False
*OK: <110 100 010 101>=1, (2, 5)=False d=3
-NG: <000 110 000 001>=1, (0, 1)=True
-NG: <000 100 001 101>=1, (1, 5)=False
-NG: <001 001 111 110>=1, (7, 6)=False
-NG: <110 000 001 110>=1, (1, 6)=False
-NG: <100 100 100 100>=1, (4, 4)=False
*OK: <101 101 000 001>=1, (0, 1)=True d=3
-NG: <001 110 001 001>=1, (1, 1)=False
*OK: <111 101 011 011>=1, (3, 3)=True d=3
-NG: <101 000 010 101>=1, (2, 5)=False
-NG: <011 000 000 100>=1, (0, 4)=True
-NG: <101 000 010 111>=1, (2, 7)=False
*OK: <010 111 011 100>=1, (3, 4)=False d=3
-NG: <101 111 010 100>=1, (2, 4)=False
-NG: <001 001 100 101>=1, (4, 5)=False
*OK: <100 101 001 110>=1, (1, 6)=False d=3
-NG: <101 011 011 010>=1, (3, 2)=True
-NG: <011 101 000 101>=1, (0, 5)=False
*OK: <001 011 111 101>=1, (7, 5)=False d=3
-NG: <011 000 010 010>=1, (2, 2)=False
-NG: <101 100 011 110>=1, (3, 6)=False
-NG: <110 111 101 101>=1, (5, 5)=False
-NG: <111 111 010 111>=1, (2, 7)=False
*OK: <110 001 000 001>=1, (0, 1)=True d=3
-NG: <100 100 000 010>=1, (0, 2)=False
*OK: <011 110 001 111>=1, (1, 7)=True d=3
-NG: <000 011 100 101>=1, (4, 5)=False
-NG: <111 111 010 101>=1, (2, 5)=False
-NG: <111 000 110 110>=1, (6, 6)=False
-NG: <110 000 000 110>=1, (0, 6)=True
-NG: <001 101 111 011>=1, (7, 3)=False
*OK: <101 101 010 000>=1, (2, 0)=False d=3
-NG: <000 010 010 000>=1, (2, 0)=False
*OK: <100 010 101 100>=1, (5, 4)=True d=3
*OK: <010 110 011 000>=1, (3, 0)=False d=3
-NG: <100 111 011 111>=1, (3, 7)=True
-NG: <100 001 010 010>=1, (2, 2)=False
*OK: <110 001 000 011>=1, (0, 3)=False d=3
-NG: <000 001 000 101>=1, (0, 5)=False
-NG: <101 011 110 110>=1, (6, 6)=False
-NG: <001 000 001 101>=1, (1, 5)=False
*OK: <101 010 110 001>=1, (6, 1)=False d=3
-NG: <111 111 000 001>=1, (0, 1)=True
*OK: <111 101 111 100>=1, (7, 4)=False d=3
-NG: <001 110 001 111>=1, (1, 7)=True
*OK: <110 010 000 011>=1, (0, 3)=False d=3
-NG: <010 001 001 110>=1, (1, 6)=False
-NG: <011 000 100 100>=1, (4, 4)=False
-NG: <111 111 000 000>=1, (0, 0)=True
-NG: <010 010 000 111>=1, (0, 7)=False
*OK: <110 001 010 000>=1, (2, 0)=False d=3
-NG: <011 100 011 000>=1, (3, 0)=False
-NG: <011 000 010 100>=1, (2, 4)=False
-NG: <001 111 000 101>=1, (0, 5)=False
*OK: <111 101 110 100>=1, (6, 4)=False d=3
*OK: <010 011 101 110>=1, (5, 6)=True d=3
-NG: <011 001 010 110>=1, (2, 6)=False
-NG: <101 111 100 101>=1, (4, 5)=False
*OK: <011 010 000 000>=1, (0, 0)=True d=3
-NG: <001 001 110 110>=1, (6, 6)=False
-NG: <101 011 001 110>=1, (1, 6)=False
-NG: <111 001 111 001>=1, (7, 1)=False
*OK: <110 010 000 010>=1, (0, 2)=False d=3
-NG: <111 111 010 011>=1, (2, 3)=False
-NG: <111 011 111 111>=1, (7, 7)=False
-NG: <000 100 001 110>=1, (1, 6)=False
*OK: <100 110 111 010>=1, (7, 2)=False d=3
*OK: <110 101 110 101>=1, (6, 5)=False d=3
-NG: <111 001 001 100>=1, (1, 4)=False
*OK: <011 110 110 101>=1, (6, 5)=False d=3
-NG: <000 101 110 110>=1, (6, 6)=False
-NG: <001 111 100 110>=1, (4, 6)=False
-NG: <100 100 010 001>=1, (2, 1)=False
*OK: <001 100 100 000>=1, (4, 0)=False d=3
-NG: <000 101 011 101>=1, (3, 5)=False
*OK: <101 110 100 011>=1, (4, 3)=False d=3
*OK: <100 011 011 110>=1, (3, 6)=False d=3
-NG: <000 011 110 010>=1, (6, 2)=True
-NG: <000 101 010 110>=1, (2, 6)=False
-NG: <000 001 010 010>=1, (2, 2)=False
-NG: <101 100 001 101>=1, (1, 5)=False
*OK: <101 001 110 101>=1, (6, 5)=False d=3
Success: d=3 count=33
