bit_length=4 prime=13 G=(11, 5) n=7 Q=(11, 8)
Creating Quantum Circuit
set [(11, 5), (7, 5), (8, 5)]
add 3/6 [(11, 8), (7, 8), (8, 8)] 
Complete aG+bQ
Complete Quantum Circuit 0.399[s]
  qubit_size=71 gate_count=12971 depth=12548
Start Transpile ibm_fez 0
End Transpile 177.503[s] size=4167068 depth=2246123, ops=OrderedDict({'sx': 2217253, 'cz': 1048828, 'rz': 897179, 'x': 3794, 'measure': 14, 'barrier': 2})
-NG: <000 000 0010 0010>=3, (2, 2)=False
-NG: <000 011 0001 0010>=2, (1, 2)=False
-NG: <000 110 1010 0011>=1, (10, 3)=False
-NG: <000 010 0001 0010>=1, (1, 2)=False
-NG: <000 100 0000 0010>=1, (0, 2)=False
-NG: <000 100 0000 0011>=1, (0, 3)=False
-NG: <010 100 0000 0001>=1, (0, 1)=False
-NG: <011 111 0001 0011>=1, (1, 3)=False
*OK: <110 001 0000 0010>=1, (0, 2)=False d=6
-NG: <000 100 0001 0010>=1, (1, 2)=False
-NG: <000 001 0000 0010>=1, (0, 2)=False
*OK: <001 110 0000 0000>=1, (0, 0)=True d=6
*OK: <010 101 0011 0110>=1, (3, 6)=False d=6
-NG: <000 111 0000 1011>=1, (0, 11)=False
*OK: <010 111 1010 1011>=1, (10, 11)=False d=6
*OK: <010 110 0111 0010>=1, (7, 2)=False d=6
-NG: <000 100 0100 0001>=1, (4, 1)=False
*OK: <010 111 0010 1011>=1, (2, 11)=False d=6
*OK: <111 010 0100 0011>=1, (4, 3)=False d=6
-NG: <001 001 1101 0011>=1, (13, 3)=False
-NG: <000 110 0000 1011>=1, (0, 11)=False
-NG: <000 111 0000 0011>=1, (0, 3)=False
-NG: <011 111 1110 0011>=1, (14, 3)=False
-NG: <000 110 0110 0000>=1, (6, 0)=False
*OK: <010 111 1011 0010>=1, (11, 2)=False d=6
*OK: <010 111 0001 1010>=1, (1, 10)=False d=6
*OK: <001 110 0100 1010>=1, (4, 10)=False d=6
*OK: <001 111 0001 0011>=1, (1, 3)=False d=6
-NG: <100 010 0100 1010>=1, (4, 10)=False
*OK: <110 011 0000 0001>=1, (0, 1)=False d=6
-NG: <011 000 0001 0011>=1, (1, 3)=False
-NG: <000 000 0001 0010>=1, (1, 2)=False
-NG: <010 011 0001 0010>=1, (1, 2)=False
-NG: <000 011 0000 0011>=1, (0, 3)=False
-NG: <000 011 1000 0010>=1, (8, 2)=False
-NG: <110 110 0110 1010>=1, (6, 10)=False
*OK: <011 101 0110 1011>=1, (6, 11)=False d=6
-NG: <000 101 0000 0010>=1, (0, 2)=False
-NG: <000 101 0001 0010>=1, (1, 2)=False
-NG: <000 111 0001 0011>=1, (1, 3)=False
*OK: <011 101 0010 0010>=1, (2, 2)=False d=6
-NG: <110 111 0001 0010>=1, (1, 2)=False
*OK: <010 101 0001 1011>=1, (1, 11)=False d=6
*OK: <011 101 1100 0011>=1, (12, 3)=False d=6
-NG: <001 010 1001 0011>=1, (9, 3)=False
-NG: <001 001 0001 1010>=1, (1, 10)=False
-NG: <000 010 0000 0010>=1, (0, 2)=False
*OK: <001 111 0000 0010>=1, (0, 2)=False d=6
-NG: <100 010 0011 0011>=1, (3, 3)=False
*OK: <100 100 1101 0011>=1, (13, 3)=False d=6
-NG: <001 001 0000 0110>=1, (0, 6)=False
-NG: <100 110 1001 1010>=1, (9, 10)=False
-NG: <000 110 0000 0010>=1, (0, 2)=False
-NG: <111 011 0110 1010>=1, (6, 10)=False
-NG: <110 101 0001 0010>=1, (1, 2)=False
-NG: <000 010 1100 0011>=1, (12, 3)=False
*OK: <011 110 0000 1010>=1, (0, 10)=False d=6
-NG: <010 011 0000 0011>=1, (0, 3)=False
*OK: <100 011 0100 1010>=1, (4, 10)=False d=6
-NG: <000 010 1011 0010>=1, (11, 2)=False
-NG: <100 110 0000 0011>=1, (0, 3)=False
*OK: <010 111 0011 1010>=1, (3, 10)=False d=6
-NG: <110 110 0000 0011>=1, (0, 3)=False
-NG: <010 001 1000 0010>=1, (8, 2)=False
-NG: <001 100 0000 0011>=1, (0, 3)=False
-NG: <001 011 0000 1011>=1, (0, 11)=False
-NG: <000 101 0100 0010>=1, (4, 2)=False
*OK: <011 101 0000 0010>=1, (0, 2)=False d=6
-NG: <001 001 1110 0010>=1, (14, 2)=False
-NG: <100 010 1001 1011>=1, (9, 11)=False
-NG: <000 111 1001 1011>=1, (9, 11)=False
-NG: <010 010 0001 0010>=1, (1, 2)=False
-NG: <000 111 0110 1010>=1, (6, 10)=False
*OK: <010 111 0000 0010>=1, (0, 2)=False d=6
-NG: <000 001 1101 1010>=1, (13, 10)=False
*OK: <111 001 0010 1010>=1, (2, 10)=False d=6
*OK: <100 011 0110 1010>=1, (6, 10)=False d=6
*OK: <010 101 0000 0010>=1, (0, 2)=False d=6
-NG: <011 001 0001 0011>=1, (1, 3)=False
-NG: <010 000 1010 0111>=1, (10, 7)=False
-NG: <010 010 1100 1010>=1, (12, 10)=False
-NG: <000 011 0100 1011>=1, (4, 11)=False
-NG: <010 001 1000 1010>=1, (8, 10)=False
-NG: <000 001 0111 1010>=1, (7, 10)=False
-NG: <000 011 0000 0000>=1, (0, 0)=True
-NG: <000 110 0100 0010>=1, (4, 2)=False
-NG: <000 101 0100 1010>=1, (4, 10)=False
-NG: <000 110 0010 0010>=1, (2, 2)=False
-NG: <000 110 0000 0011>=1, (0, 3)=False
-NG: <000 001 1110 0010>=1, (14, 2)=False
-NG: <011 011 0000 0010>=1, (0, 2)=False
-NG: <000 000 0110 0011>=1, (6, 3)=False
-NG: <001 000 0100 0011>=1, (4, 3)=False
-NG: <000 010 0010 0011>=1, (2, 3)=False
*OK: <111 010 0001 0010>=1, (1, 2)=False d=6
-NG: <000 001 1100 0001>=1, (12, 1)=False
-NG: <110 110 0010 1010>=1, (2, 10)=False
Success: d=6 count=27
