bit_length=8 prime=163 G=(112, 53) n=139 Q=(122, 144)
Creating Quantum Circuit
(1/8)
(2/8)
(3/8)
(4/8)
(5/8)
(6/8)
(7/8)
(8/8)
Complete Quantum Circuit 125.947[s]
  qubit_size=276 gate_count=2240599
execute circuit 10000/2240599 1.587
execute circuit 20000/2240599 2.907
execute circuit 30000/2240599 4.144
execute circuit 40000/2240599 5.497
execute circuit 50000/2240599 6.694
execute circuit 60000/2240599 8.221
execute circuit 70000/2240599 9.924
execute circuit 80000/2240599 11.488
execute circuit 90000/2240599 13.018
execute circuit 100000/2240599 14.732
execute circuit 110000/2240599 16.270
execute circuit 120000/2240599 17.473
execute circuit 130000/2240599 18.809
execute circuit 140000/2240599 20.062
execute circuit 150000/2240599 21.397
execute circuit 160000/2240599 22.720
execute circuit 170000/2240599 24.093
execute circuit 180000/2240599 25.399
execute circuit 190000/2240599 26.560
execute circuit 200000/2240599 27.816
execute circuit 210000/2240599 28.928
execute circuit 220000/2240599 30.374
execute circuit 230000/2240599 32.096
execute circuit 240000/2240599 33.585
execute circuit 250000/2240599 35.137
execute circuit 260000/2240599 36.814
execute circuit 270000/2240599 38.312
execute circuit 280000/2240599 39.416
execute circuit 290000/2240599 40.673
execute circuit 300000/2240599 41.851
execute circuit 310000/2240599 43.149
execute circuit 320000/2240599 44.494
execute circuit 330000/2240599 45.841
execute circuit 340000/2240599 47.215
execute circuit 350000/2240599 48.446
execute circuit 360000/2240599 49.789
execute circuit 370000/2240599 51.017
execute circuit 380000/2240599 52.563
execute circuit 390000/2240599 54.428
execute circuit 400000/2240599 56.064
execute circuit 410000/2240599 57.658
execute circuit 420000/2240599 59.553
execute circuit 430000/2240599 1:01.147
execute circuit 440000/2240599 1:02.390
execute circuit 450000/2240599 1:03.695
execute circuit 460000/2240599 1:04.938
execute circuit 470000/2240599 1:06.317
execute circuit 480000/2240599 1:07.613
execute circuit 490000/2240599 1:08.968
execute circuit 500000/2240599 1:10.330
execute circuit 510000/2240599 1:11.557
execute circuit 520000/2240599 1:12.900
execute circuit 530000/2240599 1:14.121
execute circuit 540000/2240599 1:15.643
execute circuit 550000/2240599 1:17.477
execute circuit 560000/2240599 1:19.103
execute circuit 570000/2240599 1:20.717
execute circuit 580000/2240599 1:22.535
execute circuit 590000/2240599 1:24.104
execute circuit 600000/2240599 1:25.344
execute circuit 610000/2240599 1:26.665
execute circuit 620000/2240599 1:27.903
execute circuit 630000/2240599 1:29.262
execute circuit 640000/2240599 1:30.578
execute circuit 650000/2240599 1:31.851
execute circuit 660000/2240599 1:33.219
execute circuit 670000/2240599 1:34.480
execute circuit 680000/2240599 1:35.862
execute circuit 690000/2240599 1:37.150
execute circuit 700000/2240599 1:38.718
execute circuit 710000/2240599 1:40.604
